SSN,Char,Other_ID,Other_ID_2,Char_type,Source,Pyrolysis_Unit,Class,Feedstock,Temp.,Naphthalin (mg/kg),2-Methylnaphthalin,1-Methylnaphthalin,∑Naphthaline,Acenaphthylen,Acenaphthen,Fluoren,Phenanthren ,Anthracen,Fluoranthen,Pyren,Chrysen,Benzo(a)anthracen,Benzo(b+k)fluoranthen,Benzo(a)pyren,"Dibenzo(a,h)anthracen","Indeno(c,d)pyren","Benzo(g,h,i)perylen",∑ PAK nach EPA (mg/kg),Bulk Density (Mg/m-3),External_Surf_Area_N2_(m2/g),Surf_Area_(m2/g),pH,EC_(uS),Ash_avg,Fixed_Carbon_avg,volatile_mass,CEC_(mmol/kg),exchg_Ca_(mmol/kg),exchg_K_(mmol/kg),exchg_Mg_(mmol/kg),exchg_Na_(mmol/kg),exchg_P_(mmol/kg),Ca_(mg/kg),K_(mg/kg),Mg_(mg/kg),Na_(mg/kg),15N,Yield_(w/w),Moisture_105avg,labile_mass_avg,Fixed_Carbon_avg,Ash_Free_Mass_avg,Volatiles_ash_free_avg,C_tot_avg,N_tot_avg,C_tot_to_N_(w/w),Corg_(w/w),Cinorg,H_tot_(w/w),O_ult,Oc_[A_ Si_Fe],Oc_[Al_Si_Fe_Ca],Oc_[Al_Si_Fe_Cinorg],Oc_[Cinorg],mg_Al2O3_O_per_kg_char,mg_SiO2_O_per_kg_char,mg_Fe2O3_O_per_kg_char,mg-CaCO3-O/kg char,Corg_to_N_(w/w),Ctot_to_N_(mol_to_mol),Htot_to_Ctot_(molar),Oult_to_Ctot_(molar),Htot_to_Corg_(molar),Oult_to_Corg_(molar),Oc_[Al_Si_Fe]_to_Corg_(molar),Oc_[Al_Si_Fe_Ca]_to_Corg_(molar),Oc_[Al_Si_Fe_Cinorg]_to_to_Corg_(molar),Oc_[Cinorg]_to_Corg_(molar),pHKCl4.5_avg,P_avg_(mg/kg),S_avg_(mg/kg),Fe_avg_(mg/kg),Mn_avg_(mg/kg),Zn_avg_(mg/kg),Cu_avg_(mg/kg),Mo_avg_(mg/kg),B_avg_(mg/kg),Ni_avg_(mg/kg),Cr_avg_(mg/kg),Co_avg_(mg/kg),As_avg_(mg/kg),Cd_avg_(mg/kg),Pb_avg_(mg/kg),Al_avg_(mg/kg),Ba_avg_(mg/kg),Cd2_avg_(mg/kg),Fe2714_avg_(mg/kg),K4047_avg_(mg/kg),Se_avg_(mg/kg),Si_avg_(mg/kg),Sr_avg_(mg/kg),Ti_avg_(mg/kg),V_avg_(mg/kg),Y_avg_(mg/kg),BJH_Pore_Vol_(cc/g),DFT_Pore_Vol_(cc/g),Decomposition_36_month_perc_remaining,C Stability (%C),Dioxin/Furan (ng/kg i-TEQ),PCBs (ng/kg),Pore Diameter (nm)
WA078215,Colorado,MIR022,,woody,Cornell ,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,549,0.039948662,0.773528897,0.186522441,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,4702.441309,5391.068211,1445.395235,417.3867776,,,0.034235833,0.008197487,0.80571618,0.960051338,0.19428382,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,101.091009,89.00218772,96.39158993,5631.666238,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,447.1001331,189.3942551,224.3112624,366.4521265,22.5819022,11.66264885,0.75659262,9.996660145,42.59191949,23.4580976,1.181576282,-0.693599557,0.242833039,0.996744736,113.6431426,39.41275457,0.288013932,223.4122378,5252.154389,-1.068427034,78.12723291,30.19336656,1.753349642,0.102676479,0.130540715,#DIV/0!,#DIV/0!,,,,,
WA078216,Composted Dairy Manure 500°C,MIR023,,cow,Cornell ,,manure,Cow,500,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,10.335,788,0.500889555,0.168953341,0.330157104,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,38388.10139,12823.67278,12534.35656,1219.047552,,0.536561018,0.038144632,#DIV/0!,0.338508927,0.499110445,0.661491073,0.377527778,0.020296767,18.6003895,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,9125.824559,225.8266901,3918.768552,45973.77412,#DIV/0!,21.691498,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,9.645,6010.562661,2155.405726,9119.300985,542.4393342,171.9500216,150.7624203,22.56084103,4.458667495,18.79858771,16.42410778,7.579823527,10.72529494,-0.771451638,46.42275378,10258.94777,98.45268303,-1.381819307,8944.509167,14144.42658,-5.927976508,198.2334914,100.0348526,-0.519848911,13.87230796,3.727404526,#DIV/0!,#DIV/0!,,,,,
WA078217,Composted Dairy w/ Wood 500C,MIR024,,cow,Cornell ,,mixed ,,500,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,10.045,463,0.5851854,0.157573935,0.257240665,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.433070866,0.022665475,0.00276,0.379865933,0.4148146,0.620134067,0.74043702,0.006365288,116.3242024,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,135.6555576,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,9.45,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
WA078218,Corn Stover 300°C,MIR025,,annual,Cornell ,,crop waste,Corn,300,,,,,,,,,,,,,,,,,,,,0.12,4.7,141,7.33,189,0.107,0.3743,0.5187,708,105,309,212,2,1369,6480,17052,5883,492,2.29,0.455,0.050676094,0.03648,0.419183473,0.893032814,0.580816527,0.595,0.0116,51,0.598941497,-0.011167588,0.045482843,0.248283622,0.24673921,0.036178431,0.291409562,0.292953974,1028.404089,102.1415116,413.8665737,7759.999585,52.1161295,59.6438353,0.922067807,0.317074118,0.904875354,0.3111621,0.309226561,0.045340713,0.365209797,0.367145336,#DIV/0!,1368.811944,697.4903211,963.102006,141.5867961,131.754744,44.82804999,0.409597697,20.31251106,10.43805419,14.42823486,0.81084895,-0.559999006,0.019916376,1.739426879,1156.097596,50.69461776,-0.197270555,953.6677752,17259.58984,-2.888193448,89.66109566,30.52654657,6.250337877,2.126739763,0.621815741,#DIV/0!,#DIV/0!,80.13803149,,,,
WA078219,Corn Stover 350°C,MIR001,,annual,Cornell ,,crop waste,Corn,350,,,,,,,,,,,,,,,,,,,,,1.52,293.5,9.17,#DIV/0!,0.1096,0.397940053,0.488517327,419.27,50.2730982,256.6280153,80.65279192,3.799549542,,6136.354279,21486.41358,6306.696652,854.1929312,,0.348,0.055241148,0.052263489,0.448910531,0.88645738,0.551089469,0.604106906,0.011759471,51.3719475,0.652010834,-0.047903928,0.038203885,0.232387118,0.231287452,0.029755292,0.422903165,0.424002831,625.734433,233.9620078,239.9691889,7348.927281,55.4455942,59.9092024,0.753562525,0.288749522,0.698197486,0.267534788,0.266268802,0.034255667,0.486865665,0.488131651,#DIV/0!,1889.328763,730.7525217,558.4282999,128.6044832,66.03473852,21.45487982,0.828763925,16.01605213,0.980356999,2.212073438,0.617050979,-1.228292034,0.015017154,1.70820075,703.4297918,55.86596593,-0.001872866,559.714028,18146.79427,-0.994984081,205.374775,31.38505674,16.6385506,1.658625721,0.565031358,0.0032,0.06,90.28442539,,,,
WA078220,Corn Stover 400°C,MIR026,,annual,Cornell ,,crop waste,Corn,400,,,,,,,,,,,,,,,,,,,,0.102,3.9,282,9.17,177,0.129,0.4237,0.4473,796,55,249,93,3,1812,7254,20234,6583,904,2.13,0.325,0.054351864,0.0384,0.486472405,0.871022491,0.513527595,0.626,0.011,58,0.652010834,-0.026095204,0.03264761,0.201264131,0.199647818,0.022344467,0.304028633,0.305644945,816.3102613,414.5110758,385.4911911,8686.830545,58.2406311,65.2010462,0.621528667,0.24136462,0.596653441,0.231704567,0.229843793,0.025723983,0.35001181,0.351872584,#DIV/0!,1812.377343,712.1378751,897.0701259,160.3792765,48.91610044,15.73886102,0.17392899,6.006891339,2.036480659,3.089876234,0.433189952,0.924530935,0.077178858,1.075906173,917.6687854,56.27885793,0.00853468,884.2344789,20971.42034,0.357993016,363.8630037,33.53625362,22.89450979,2.118431873,0.489961685,0.01,0.05,92.76135761,,,,
WA078221,Corn Stover 450°C,MIR027,,annual,Cornell ,,crop waste,Corn,450,,,,,,,,,,,,,,,,,,,,,6.32,#DIV/0!,9.95,#DIV/0!,0.1183,0.448701753,0.426672279,1013.72,34.19317506,508.4787929,71.07585916,3.28773565,,7316.636663,25706.85677,8030.572951,1111.664959,,0.29,0.059434502,0.045323597,0.512582892,0.875374032,0.487417108,0.673046114,0.01116067,60.3051704,0.683228516,-0.010182401,0.027073474,0.164093773,0.16268955,0.016906812,0.203419156,0.204823379,766.0799952,287.8380067,350.3051752,8762.439117,61.2175171,70.3269942,0.479319095,0.183008097,0.472175629,0.180280661,0.17873792,0.01857457,0.223485262,0.225028003,#DIV/0!,2148.144161,790.0077982,815.1893347,175.5169749,63.57307615,16.16132667,0.950118078,19.67172376,3.024248163,2.629000458,0.625130025,-0.919212957,0.182770972,6.601373127,861.2015946,71.57019402,0.034979324,802.5951005,23708.47928,-0.122262577,252.6678002,38.96954679,19.19972814,1.819281534,0.588767172,0.0067,#DIV/0!,97.69799601,,,,
WA078222,Corn Stover 500°C,MIR028,,annual,Cornell ,,crop waste,Corn,500,,,,,,,,,,,,,,,,,,,,0.103,3.2,494,9.92,203,0.176,0.5132,0.3108,517,54,403,87,4,1852,11699,24817,9510,1384,1.76,0.296,0.051153574,0.03294,0.622833995,0.824021197,0.361246725,0.687,0.0111,62,0.70310561,-0.015878202,0.018818398,0.107047215,0.105156546,0.002917202,0.168669353,0.170560022,1159.769523,274.0354422,456.8646733,14010.52615,64.338793,73.3365247,0.326292979,0.116922456,0.31892432,0.114282001,0.112263551,0.003114361,0.18006887,0.182087321,#DIV/0!,1851.703954,739.3643097,1063.162167,198.7723977,72.22988487,26.34149118,0.024554416,9.44799866,1.678523917,2.689029422,0.705679085,0.948281117,-0.066354129,-0.114997947,1303.774238,71.96871302,0.017457107,1051.410211,25848.70879,0.67158904,240.5517366,40.98146408,16.01313127,2.947431188,0.7695098,0.006,0.09,85.68534712,,,,
WA078223,Corn Stover 550°C,MIR002,,annual,Cornell ,,crop waste,Corn,550,,,,,,,,,,,,,,,,,,,,,3.07,#DIV/0!,9.17,#DIV/0!,0.1269,0.4874123,0.372921541,452.94,27.37635751,429.382837,38.57641803,4.453553999,,9803.774217,23928.94584,8890.763349,778.112854,,0.277,0.051886222,0.046382945,0.566538565,0.860333841,0.433461435,0.704479233,0.010122879,69.5927731,0.722169611,-0.017690377,0.022783351,0.122948377,0.121238902,0.00933283,0.192000411,0.193709885,964.1449633,382.0960263,363.2334957,11741.04697,71.3403368,81.1580586,0.385367398,0.13100191,0.375927379,0.127792868,0.126016035,0.009700568,0.199565734,0.201342566,#DIV/0!,2093.304298,731.3929337,845.2746139,207.8232207,82.16693044,25.86658665,0.851465799,14.23866923,2.156941175,2.535201843,0.733648856,0.305932306,0.078079826,3.768887245,1083.85963,83.11973194,0.162928998,836.5083212,22891.50489,2.09469426,335.4086681,45.21537459,11.27708874,2.594700568,0.80996315,0.0046,#DIV/0!,91.44862368,,,,
WA078224,Corn Stover 600°C,MIR029,,annual,Cornell ,,crop waste,Corn,600,,,,,,,,,,,,,,,,,,,,0.113,3.4,531,9.95,196,0.1672,0.598,0.2349,385,41,230,53,4,2114,9383,24616,8582,1539,2.04,0.282,0.051983979,0.047784199,0.717970777,0.832849793,0.282029223,0.698,0.0101,70,0.687084346,0.019458039,0.022984006,0.092633277,0.09037905,0.009492989,0.012546894,0.014801121,1302.008631,366.959671,585.2583706,11236.78981,64.2728024,77.076664,0.38762615,0.098412855,0.398603615,0.10119988,0.098737185,0.010370889,0.013707214,0.016169909,#DIV/0!,2114.423719,800.7449149,1361.945,225.5178482,69.85973985,32.69555866,-0.825357513,10.56079277,2.195431001,3.511192681,0.638396508,0.233159897,0.010716344,22.2599652,1463.674702,92.20632808,0.010371607,1337.491612,25931.98175,1.05749578,322.1217862,43.76141438,26.47050977,3.125841079,0.740335695,0.006,0.1,98.18764206,,,,
